WebsiteUrl,Dimension,Sessions,Range
https://navy.mnd.gov.tw/index.aspx,ga:mobilePageSessions,25155,30daysAgo
https://www.nmmba.gov.tw,ga:tabletPageSessions,87,30daysAgo
http://event.moc.gov.tw,ga:desktopPageSessions,3597,7daysAgo
https://805.mnd.gov.tw,ga:mobilePageSessions,6936,7daysAgo
http://www.moeaidb.gov.tw/external/view/tw/,ga:tabletPageSessions,27,7daysAgo
http://www.epza.gov.tw,ga:desktopPageSessions,263,today
http://www.dot.gov.tw,ga:mobilePageSessions,443,today
https://www.ris.gov.tw,ga:tabletPageSessions,9,today
https://www.boca.gov.tw,ga:desktopPageSessions,2752,30daysAgo
https://www.trade.gov.tw,ga:mobilePageSessions,5988,30daysAgo
https://www.archives.gov.tw/,ga:tabletPageSessions,87,30daysAgo
https://www.ntsec.gov.tw,ga:desktopPageSessions,799,7daysAgo
https://www.bamid.gov.tw,ga:mobilePageSessions,1399,7daysAgo
https://www.moc.gov.tw,ga:tabletPageSessions,23,7daysAgo
https://magazine.ncfta.gov.tw,ga:desktopPageSessions,50,today
https://www.ntmofa.gov.tw,ga:mobilePageSessions,74,today
https://www.ntm.gov.tw,ga:tabletPageSessions,1,today
https://www.nmtl.gov.tw,ga:desktopPageSessions,47478,30daysAgo
https://www.ntso.gov.tw,ga:mobilePageSessions,94282,30daysAgo
https://www.nmth.gov.tw,ga:tabletPageSessions,950,30daysAgo
https://stock.landbank.com.tw/,ga:desktopPageSessions,13653,7daysAgo
http://www.twbeer.com.tw,ga:mobilePageSessions,25585,7daysAgo
https://greenliving.epa.gov.tw/,ga:tabletPageSessions,207,7daysAgo
http://www.moj.gov.tw,ga:desktopPageSessions,745,today
https://incubator.moeasmea.gov.tw,ga:mobilePageSessions,1511,today
https://tour.ntpc.gov.tw,ga:tabletPageSessions,17,today
https://www.land.tycg.gov.tw,ga:desktopPageSessions,11410,30daysAgo
https://www.tax.ntpc.gov.tw,ga:mobilePageSessions,67471,30daysAgo
http://www.nmmst.gov.tw,ga:tabletPageSessions,1714,30daysAgo
https://www.taichung.gov.tw,ga:desktopPageSessions,3346,7daysAgo
http://miaolitravel.net,ga:mobilePageSessions,17224,7daysAgo
https://www.tycg.gov.tw,ga:tabletPageSessions,341,7daysAgo
http://www.taoyuanairport.com.tw,ga:desktopPageSessions,184,today
https://www.cpami.gov.tw/,ga:mobilePageSessions,794,today
https://consumer.fda.gov.tw/,ga:tabletPageSessions,12,today
https://museum.cbc.gov.tw/web/index.html,ga:desktopPageSessions,33728,30daysAgo
https://www.bli.gov.tw,ga:mobilePageSessions,39216,30daysAgo
https://www.ncfta.gov.tw,ga:tabletPageSessions,692,30daysAgo
https://en.ncfta.gov.tw,ga:desktopPageSessions,10458,7daysAgo
https://jp.ncfta.gov.tw,ga:mobilePageSessions,10544,7daysAgo
https://www.tps.moj.gov.tw/,ga:tabletPageSessions,228,7daysAgo
https://www.tpk.moj.gov.tw,ga:desktopPageSessions,768,today
https://www.cdc.gov.tw,ga:mobilePageSessions,559,today
https://www.mjac.moj.gov.tw,ga:tabletPageSessions,12,today
https://www.sipa.gov.tw,ga:desktopPageSessions,5471,30daysAgo
https://air.epa.gov.tw,ga:mobilePageSessions,4510,30daysAgo
https://moneywise.fsc.gov.tw,ga:tabletPageSessions,86,30daysAgo
https://www.oca.gov.tw,ga:desktopPageSessions,1853,7daysAgo
https://www.oac.gov.tw,ga:mobilePageSessions,1347,7daysAgo
https://www.namr.gov.tw,ga:tabletPageSessions,20,7daysAgo
https://www.fsc.gov.tw,ga:desktopPageSessions,123,today
